"lat","long","radius","search.twitter.entry","number.of.tweets"
45.4412140454575,-67.5783160805239,"100mi","45.4412140454575,-67.5783160805239,100mi",1000
41.5264040374573,-104.742941268683,"100mi","41.5264040374573,-104.742941268683,100mi",1000
43.2018384718643,-113.151227487641,"100mi","43.2018384718643,-113.151227487641,100mi",229
33.3470531224406,-114.919589753225,"100mi","33.3470531224406,-114.919589753225,100mi",1000
48.7219736057245,-100.220566225458,"100mi","48.7219736057245,-100.220566225458,100mi",1000
41.6883496808296,-77.9939299313113,"100mi","41.6883496808296,-77.9939299313113,100mi",1000
39.2549742742346,-75.0026977032929,"100mi","39.2549742742346,-75.0026977032929,100mi",1000
40.3973710114231,-106.88009618762,"100mi","40.3973710114231,-106.88009618762,100mi",1000
46.1725239448332,-73.6290791826033,"100mi","46.1725239448332,-73.6290791826033,100mi",1000
45.9517304804527,-80.6719224092025,"100mi","45.9517304804527,-80.6719224092025,100mi",218
47.2444834170685,-113.539233112869,"100mi","47.2444834170685,-113.539233112869,100mi",1000
29.7130776088545,-86.4058480755679,"100mi","29.7130776088545,-86.4058480755679,100mi",1000
42.5339955430353,-87.9560723525576,"100mi","42.5339955430353,-87.9560723525576,100mi",1000
44.6616630668627,-96.2941652114866,"100mi","44.6616630668627,-96.2941652114866,100mi",752
36.0787326085318,-81.8353836328873,"100mi","36.0787326085318,-81.8353836328873,100mi",1000
47.4501928318622,-114.271344249789,"100mi","47.4501928318622,-114.271344249789,100mi",1000
31.7076518145841,-83.2832203950943,"100mi","31.7076518145841,-83.2832203950943,100mi",1000
29.7166907149708,-85.7185558334806,"100mi","29.7166907149708,-85.7185558334806,100mi",1000
30.3150905716407,-97.1458859539031,"100mi","30.3150905716407,-97.1458859539031,100mi",1000
33.7279006121541,-101.075564011005,"100mi","33.7279006121541,-101.075564011005,100mi",1000
38.8322183766943,-77.1293789432764,"100mi","38.8322183766943,-77.1293789432764,100mi",1000
33.6182623172573,-108.231784435233,"100mi","33.6182623172573,-108.231784435233,100mi",228
28.5955358599017,-80.3736069893245,"100mi","28.5955358599017,-80.3736069893245,100mi",1000
39.7425217998374,-74.1314531273974,"100mi","39.7425217998374,-74.1314531273974,100mi",1000
32.4769105836646,-115.213801412467,"100mi","32.4769105836646,-115.213801412467,100mi",1000
43.656607897619,-70.6751295475809,"100mi","43.656607897619,-70.6751295475809,100mi",1000
33.4430104914043,-87.9277782153372,"100mi","33.4430104914043,-87.9277782153372,100mi",1000
40.7923854015275,-69.6668035610189,"100mi","40.7923854015275,-69.6668035610189,100mi",1000
35.9709194671277,-79.424877165255,"100mi","35.9709194671277,-79.424877165255,100mi",1000
42.0663748630508,-73.7361508783156,"100mi","42.0663748630508,-73.7361508783156,100mi",1000
25.4448325299448,-106.032496534228,"100mi","25.4448325299448,-106.032496534228,100mi",254
46.0369766467503,-86.8046647317233,"100mi","46.0369766467503,-86.8046647317233,100mi",1000
