"line","word"
76,"wealthi"
76,"sourc"
76,"comment"
76,"thread"
76,"cosea"
77,"cours"
77,"support"
77,"reform"
77,"dont"
77,"support"
77,"give"
77,"alreadi"
77,"rich"
77,"people"
77,"largest"
77,"transfer"
77,"wea"
78,"mena"
78,"scam"
78,"rob"
78,"poor"
78,"make"
78,"rich"
78,"richer"
79,"money"
79,"gone"
79,"spent"
79,"cut"
79,"edabeedbedabeedb"
80,"ite"
80,"total"
80,"possibl"
80,"guarante"
80,"cut"
80,"rich"
81,"new"
81,"hampshir"
81,"nh"
81,"just"
81,"hillbilli"
81,"tree"
81,"anywher"
81,"els"
81,"new"
81,"hampshir"
81,"home"
81,"thing"
81,"new"
81,"engea"
82,"remark"
82,"paul"
82,"ryan"
82,"upset"
82,"member"
82,"caucus"
82,"vote"
82,"plan"
82,"thea"
83,"mueller"
83,"got"
83,"flynn"
83,"cover"
83,"stop"
83,"gop"
83,"bill"
83,"us"
83,"stay"
83,"focus"
84,"quebec"
84,"municip"
84,"vy"
84,"one"
84,"third"
84,"pot"
84,"revenu"
85,"alberta"
85,"medic"
85,"student"
85,"want"
85,"cannabi"
85,"fund"
85,"mental"
85,"health"
86,"fed"
86,"will"
86,"give"
86,"pot"
86,"revenu"
86,"provinc"
86,"help"
86,"municip"
87,"slept"
87,"gop"
87,"pass"
87,"major"
87,"overhaul"
87,"benefit"
87,"rich"
87,"nobodi"
87,"read"
87,"shame"
87,"letsvotethemout"
88,"goldman"
88,"sach"
88,"gop"
88,"bill"
88,"ppt"
88,"upturn"
88,"growth"
88,"note"
88,"effect"
88,"andea"
89,"wtf"
89,"bill"
89,"that"
89,"caus"
89,"much"
89,"grief"
90,"ive"
90,"studi"
90,"feder"
90,"incom"
90,"day"
90,"still"
90,"feel"
90,"like"
90,"need"
90,"much"
91,"goptaxbil"
91,"blow"
91,"deficit"
91,"get"
91,"rid"
91,"deduct"
91,"state"
91,"local"
91,"hoea"
92,"perspect"
92,"univers"
92,"also"
92,"blame"
92,"gope"
92,"egrad"
92,"student"
93,"end"
93,"estate"
93,"reward"
93,"people"
93,"invest"
93,"spend"
93,"everyth"
93,"earn"
93,"booz"
94,"assum"
94,"cow"
94,"sphere"
94,"ie"
94,"let"
94,"oversimplifi"
94,"assum"
94,"either"
94,"action"
94,"slow"
94,"growth"
94,"renewablea"
95,"progress"
95,"leftist"
95,"creat"
95,"feder"
95,"incom"
95,"feder"
95,"reserv"
95,"bank"
95,"theeea"
96,"will"
96,"spend"
96,"save"
97,"hope"
97,"shut"
97,"govern"
97,"longer"
97,"better"
97,"perman"
97,"shutdown"
97,"best"
97,"huge"
97,"break"
97,"forev"
98,"hee"
98,"soft"
98,"shut"
98,"forev"
98,"will"
98,"bring"
98,"huge"
98,"break"
98,"pay"
98,"swamp"
99,"shut"
99,"forev"
99,"give"
99,"us"
99,"bigger"
99,"break"
100,"futur"
100,"earn"
100,"oversea"
100,"will"
100,"flow"
100,"back"
100,"countri"
100,"territori"
100,"system"
100,"current"
100,"cash"
100,"overseasea"
101,"compani"
101,"repatri"
101,"cash"
101,"eea"
102,"taxbil"
102,"edabdedbb"
102,"step"
102,"deduct"
102,"medic"
102,"student"
102,"loan"
102,"rural"
102,"hospit"
102,"yet"
102,"wealthi"
102,"corpor"
102,"createdea"
103,"hypocrisi"
103,"highest"
103,"level"
103,"support"
103,"bill"
103,"cut"
103,"student"
103,"loan"
103,"break"
103,"tuitea"
104,"break"
104,"big"
104,"promis"
104,"got"
104,"will"
104,"done"
104,"final"
104,"vote"
104,"bill"
104,"bill"
104,"keepea"
105,"tell"
105,"think"
105,"estate"
105,"recogn"
105,"people"
105,"investinga"
105,"opposedea"
106,"expect"
106,"plan"
106,"will"
106,"improv"
106,"economi"
106,"thus"
106,"reduc"
106,"overal"
106,"debt"
107,"ireland"
107,"prostitut"
107,"taxdodg"
107,"corpor"
107,"world"
107,"identikit"
107,"fine"
107,"gael"
107,"fianna"
107,"fcail"
107,"pimpparti"
107,"massiveea"
108,"establish"
108,"media"
108,"done"
108,"much"
108,"possibl"
108,"discredit"
108,"trump"
108,"reform"
109,"feel"
109,"sincer"
109,"sorri"
109,"american"
109,"mutual"
109,"thing"
109,"just"
109,"keep"
109,"get"
109,"wors"
109,"bill"
109,"aw"
109,"unfair"
110,"stupid"
110,"articl"
110,"anyth"
110,"convinc"
110,"nafta"
110,"bad"
110,"cut"
110,"help"
111,"vote"
111,"histor"
111,"middleeclass"
111,"relief"
111,"reveal"
111,"true"
111,"allegi"
111,"lie"
111,"washington"
111,"democrat"
111,"insteea"
112,"american"
112,"made"
112,"marijuana"
112,"illeg"
112,"excus"
112,"search"
112,"deport"
112,"mexican"
112,"immigranea"
113,"yes"
113,"iev"
113,"call"
113,"econom"
113,"terror"
113,"absolut"
113,"arbitrari"
113,"bill"
113,"tea"
114,"people"
114,"pay"
114,"estate"
114,"heir"
114,"person"
114,"creat"
114,"estate"
114,"usual"
114,"children"
114,"two"
114,"amea"
115,"elimin"
115,"estate"
115,"creat"
115,"new"
115,"special"
115,"class"
